author,dll_author_id
Adalbold of Utrecht,A5429
Adalboldus II (biskup Utrechtu ; ?-1026),A5429
"Adalboldus, évêque d'Utrecht",A5429
Adalger,A5432
"Adalgerus Augsburg, Bischof ca. nach 636 vor 1000",A5432
Adalgerus Episcopus,A5432
Adam av Bremen -1080,A5420
"Adam av Bremen, 1000-t.",A5420
Adam Balsamiensis Parvipontanus,A5428
"Adam Bocfeldius, c. 1220-c. 1294",A4199
Adam Buckfield,A4199
Adam Burley,A4180
Adam Cartusiensis/ Adam Scotus,A4207
"Adam de Bocfeld, c. 1220-c. 1294",A4199
"Adam de Eynsham, 1196-1232",A4220
Adam de Marisco,A4372
Adam de Parvo Ponte,A5428
Adam de Wodeham (około 1295-1358).,A4178
Adam de Wodeham 1295?-1358,A4178
"Adam de Wodeham, ....-1358",A4178
Adam Dryburgh,A4207
Adam du Petit-Pont,A5428
Adam du Petit-Pont 11..-1181,A5428
"Adam du Petit-Pont, 11..-....",A5428
Adam Easton,A4210
Adam Easton Catholic cardinal,A4210
Adam Eussner,A3528
"Adam Eynshamensis abbas, Lincolniensis monachus",A4220
Adam Eynshamensis abbed av Evesham,A4220
"Adam frá Brimum, 11. öld",A5420
"Adam II, Abbot of Dore Abbot of Dore Abbey in Herefordshire from 1216-1226.",A4243
"Adam l'Écossais, 115.?-1212",A4207
Adam Marisco,A4372
"Adam Marisco, 12..?-1259",A4372
"Adam Marsh English Franciscan, scholar and theologian",A4372
Adam Miodoński,A3469
Adam of Bockenfield (ok. 1220-przed 1294),A4199
Adam of Bremen,A5420
"Adam of Buckfield, c. 1220-c. 1294",A4199
Adam of Damerham,A4196
Adam of Dryburgh,A4207
Adam of Eynsham,A4220
"Adam of Eynsham, 1196-1232",A4220
Adam of Orlton,A4188
Adam of Saint-Victor,A5416
Adam Orleton Bishop of Hereford; Lord High Treasurer; Bishop of Worcester; Bishop of Winchester,A4188
Adam Orlton 12..-1345,A4188
"Adam Scotus, vesc. di Galloway, c. 1150-1212",A4207
Adam Usk,A4197
Adam von Bremen -1081,A5420
"Adam von Bremen, činný 11. století",A5420
Adam Wodeham,A4178
Adam z Marsh (ok. 1200-1259),A4372
"Adam, Abbé d'Eynsham",A4220
"Adam, Balsamiensis",A5428
"Adam, de Brême, 11e s.",A5420
"Adam, de Bremen, actiu segle XI",A5420
"Adam, de Saint-Victor, -1146",A5416
"Adam, de Wodeham",A4178
"Adam, M.",A5420
"Adam, of Balsham",A5428
"Adam, of Balsham, approximately 1100-approximately 1169",A5428
"Adam, of Buckfield, approximately 1220-approximately 1294",A4199
"Adam, of Buckfield, environ 1220-environ 1294",A4199
"Adam, of Eynsham, fl. 1196-1232",A4220
"Adam, of Usk, active 1400",A4197
"Adam, Scotus, ca. 1140-1212",A4207
"Adam, von Bremen",A5420
"Adam, von Bremen, -ca. 1081",A5420
"Adam, von Bremen, 11th cent.",A5420
"Adam, von Bremen, active 11th century",A5420
"Adam, von Sanct Victor, -1192",A5416
Adamnan  <santo>,A5424
Adamnan (święty ; 625?-704).,A5424
Adamnan (święty ; ok. 624-704),A5424
Adamnan 625?-704) (św. ;,A5424
Adamnan helgen,A5424
Adamnan saint 062.-0704,A5424
"Adamnan, abbé de Iona, saint",A5424
"Adamnan, svatý, asi 625-704",A5424
Adamnanus,A5424
Adamnanus de Iona 624-704,A5424
"Adamnanus de Iona, s., c. 624-704",A5424
"Adamnanus, 0625?-0704, saint",A5424
"Adamnanus, ca. 624-704",A5424
"Ādams, no Brēmenes, 11.gs.",A5420
Adamus -1328 Burley,A4180
Adamus Balsamiensis Parvipontanus,A5428
Adamus Bremensis,A5420
Adamus Bremensis (?-ok. 1081),A5420
Adamus Bremensis (?-około 1085).,A5420
"Adamus Bremensis, sec. XI",A5420
Adamus Buccenfeldus,A4199
Adamus Burley -1328,A4180
Adamus ca. 1127/40-1212 Scotus,A4207
Adamus ca. gest. 1291 Domerhamensis,A4196
Adamus de Einesham 1196-1232,A4220
Adamus de Marisco 1200-1259,A4372
Adamus de Mariscus,A4372
Adamus de Orleton,A4188
Adamus de Orleton -1345,A4188
Adamus de Parvo Ponte ca. 1105 - 1181,A5428
"Adamus de s. Victore, c. 1110-1192",A5416
Adamus de Usk,A4197
Adamus Domerhamensis -1291,A4196
Adamus Easton -1397,A4210
Adamus Eyneshamensis,A4220
"Adamus Eyneshamensis, 1196-1232",A4220
Adamus Eynshamensis Abbas,A4220
Adamus Goddamus 1298-1358,A4178
"Adamus Parvipontanus Balsamiensis, c. 1105-1181",A5428
Adamus Sancti Victoris Parisiensis,A5416
Adamus Scotus,A4207
Adamus Scotus (ok. 1150-1212),A4207
Adamus Scotus (około 1150-około 1212).,A4207
Adamus Scotus c. 1150-1212 vesc. di Galloway,A4207
Adamus Scotus ca. 1127/40-1212,A4207
Adamus Scotus ок.1150-1212,A4207
"Adamus Scotus, 1150-1212",A4207
"Adamus Scotus, činný 12. století",A4207
Adamus Siberus,A3825
"Adamus, Bremensis",A5420
"Adamus, Bucfeldus, ca. 1220-ca. 1294",A4199
"Adamus, Scotus, ca. 1150-1212",A4207
"Addison, J. (Joseph), 1672-1719",A4752
"Addison, Joseph (English philosopher, 1672-1719)",A4752
"Addison, Joseph, 1672-1719",A4752
"Addison, Joseph, 1672-1719.",A4752
Adelard of Bath,A4480
"Adelard z Bathu, asi 1090-asi 1160",A4480
"Adelard, of Bath, approximately 1090-approximately 1160",A4480
Adelardus Bathensis,A4480
"Adelardus Bathoniensis, c. 1090-c. 1160",A4480
"Adelbold von Utrecht, 0970-1027?",A5429
Adelboldus,A5429
Adelboldus approximately 970-1027 Bishop of Utrecht,A5429
Adelboldus Traiectensis 970-1026,A5429
"Adelboldus Traiectensis, c. 970-1026",A5429
"Adelboldus, Bishop of Utrecht",A5429
"Adelboldus, Bishop of Utrecht, approximately 970-1027",A5429
"Adelboldus, ca. 970-1026",A5429
"Adelboldus, Traiectensis 970c-1026",A5429
Adelherus‏ Augustensis,A5432
Adelman de Liège 10..-1061?,A5431
"Adelman, 1000?-1061?",A5431
Adelmann of Liège,A5431
Adelmannus Leodiensis 1000-1061,A5431
Adelmannus m. 1061? vesc. di Brescia,A5431
"Adelmannus, Bishop of Brescia",A5431
"Adelmannus, Bishop of Brescia, -1061?",A5431
"Adelmannus, Bishop of Brescia, 1000?-1061?",A5431
"Adelmannus, vesc. di Brescia, m. 1061?",A5431
Adémar de Chabannes,A5415
"Adémar de Chabannes (French scribe, 988-1034)",A5415
"Adémar de Chabannes, 0988-1034",A5415
Adémar of Chabannes,A5415
"Adémar, de Chabannes",A5415
"Adémar, de Chabannes",A5415
"Adémar, de Chabannes, 988-1034",A5415
"Adémar, de Chabannes, asi 988-1034",A5415
Ademarus Cabannensis (ok. 988-1034),A5415
"Ademarus Cabannensis, O.S.B., 988-1034",A5415
"Ademarus Engolismensis, O.S.B., 988-1034",A5415
"Ademarus, Cabannensis, 988-1034",A5415
Adeodatus I,A5332
Adeodatus I. Papst -618,A5332
"Adeodatus I., papež, -618",A5332
Adeodatus PP. I,A5332
"Adler, Elmer",A6146
Adolf Brieger,A6188
Adolf Häckermann,A6212
Adolf Hofmeister,A6223
Adolf Hofmeister historien allemand,A6223
Adolfus Kiessling,A5973
Adrévald de Fleury,A5422
"Adrevald, approximately 818-878",A5422
Adrevaldus Floriacensis,A5422
Adrevaldus Floriacensis (818-878).,A5422
Adrevaldus Floriacensis ca. 814/820 - ca. 878,A5422
"Adrevaldus Floriacensis, sec. IX",A5422
"Adrevaldus, monachus Floriacensis, 818-878",A5422
"Adrià IV, papa, aproximadament 1110-1159",A3966
"Adrià, emperador de Roma, 76-138",A4632
Adriaan van Royen Nederlands botanicus (1704-1779),A3836
Adrian -795 Pope I,A4391
"Adrian I, Pope",A4391
"Adrian I, Pope, -795",A4391
Adrian IV,A3966
Adrian IV Pope from 1154 to 1159,A3966
"Adrian IV, Pope, d. 1159",A3966
"Adriano 76-138 imperatore romano,",A4632
Adriano Castellesi,A5473
"Adriano, Imperador de Roma, 76-138",A4632
"Adrianus IV, paus, ca. 1115-1159",A3966
Adrianus Roulerius,A3829
Adrianus van Royen,A3836
"Adrianus, Cardinal",A5473
Adrien de Valois,A5984
"Adrien I, 0700-0795, pape",A4391
Adrien Ier pape 07..-0795,A4391
Adrien IV pape 1100?-1159,A3966
"Adrien IV, 1100?-1159, pape",A3966
"Adrien IV, pape",A3966
"Adrien IV, pape, -1159",A3966
Adrien Turnèbe,A6000
Adso de Montier-en-Der,A5551
"Adso de Montier-en-Der, ?-992, O.S.B.",A5551
Adso Deruensis,A5551
Adso Dervensis,A5551
Adso Dervensis (około 910-992).,A5551
Adso Dervensis abbed av Montier-en-Der,A5551
Adso Dervensis ca 930-ca 992,A5551
Adso Dervensis ca. 930-992,A5551
"Adso Dervensis, asi 920-992",A5551
Adso of Montier-en-Der,A5551
Adso z Montier-en-Der (ok. 930-ok. 992),A5551
"Adso, abat de Montier-en-Der, -992",A5551
"Adso, abbé de Montier-en-Der",A5551
"Adso, abbot i Montier-en-Der",A5551
"Adso, Abbot of Montier-en-Der, d. 992",A5551
"Adso, Dervensis, ca. 910-992",A5551
Adson de Montier-en-Der,A5551
"Adson de Montier-en-Der, 0930?-0992",A5551
"Adson, Abbé de Montier-en-Der, m. 992",A5551
Aeddius Stephanus,A5419
Aedilvulfus Anglicus,A5414
Aedilvulfus Anglicus sec. IX monaco,A4200
"Aedilvulfus Anglicus, monaco, sec. IX",A4200
Aedilvulfus Anglicus/ Aethelwulfus,A4200
"Aedituus, Valerius",A4643
Aedwardus,A5609
Aegidius Corbeiensis,A3919
Aegidius Gallus scriptor Italicus,A2941
Aegidius Menagius,A3880
Aegidius Romanus (około 1243-1316).,A4398
Aegidius Romanus apie 1243-1316 Buržo arkivyskupas,A4398
