DLL ID,Authorized Name,Variant Names,Latin,Text
A4194,"Lipsius, Justus, 1547-1606","Joest Lips | Lips, Joest | Lipse, Juste, 1547-1606 | Lipsio, Giusto, 1547-1606 | Lipsio, Justo, 1547-1606 | Lípsio, Justo, 1547-1606 | Lipsius, Justus | Lipsius, Justus (Flemish humanist and philosopher, 1547-1606) | Lipsius, Justus, 1547-1606.",1,"A4194 | Lipsius, Justus, 1547-1606 | Joest Lips | Lips, Joest | Lipse, Juste, 1547-1606 | Lipsio, Giusto, 1547-1606 | Lipsio, Justo, 1547-1606 | Lípsio, Justo, 1547-1606 | Lipsius, Justus | Lipsius, Justus (Flemish humanist and philosopher, 1547-1606) | Lipsius, Justus, 1547-1606. | 1"
A4195,"Hobbes, Thomas, 1588-1679","Hobbes, T. 1588-1679 Thomas | Hobbes, Thomas | Hobbes, Thomas, 1588-1679 | Hobbes, Thomas, 1588-1679. | Thomas Hobbes Malmesburiensis | Hobbes, T. 1588-1679 Thomas | Thomas Hobbes Malmesburiensis | Hobbes, Thomas | Hobbes, Thomas, 1588-1679. | Hobbes, Thomas, 1588-1679",1,"A4195 | Hobbes, Thomas, 1588-1679 | Hobbes, T. 1588-1679 Thomas | Hobbes, Thomas | Hobbes, Thomas, 1588-1679 | Hobbes, Thomas, 1588-1679. | Thomas Hobbes Malmesburiensis | Hobbes, T. 1588-1679 Thomas | Thomas Hobbes Malmesburiensis | Hobbes, Thomas | Hobbes, Thomas, 1588-1679. | Hobbes, Thomas, 1588-1679 | 1"
A4196,"Adam, of Domerham, active 13th century",Adam of Damerham | Adamus ca. gest. 1291 Domerhamensis | Adamus Domerhamensis -1291 | Adamus ca. gest. 1291 Domeshamensis | Adamus Domerhamensis -1291 | Adamus ca. gest. 1291 Domerhamensis | Adamus ca. gest. 1291 Domerhvmensis | Adam of Damerham,1,"A4196 | Adam, of Domerham, active 13th century | Adam of Damerham | Adamus ca. gest. 1291 Domerhamensis | Adamus Domerhamensis -1291 | Adamus ca. gest. 1291 Domeshamensis | Adamus Domerhamensis -1291 | Adamus ca. gest. 1291 Domerhamensis | Adamus ca. gest. 1291 Domerhvmensis | Adam of Damerham | 1"
A4197,"Adam, of Usk, active 1400","Adam Usk | Adam, of Usk, active 1400 | Adamus de Usk | Adamus de Usk | odamus de Uek | Adam, of Usk, active 1400 | Adwyus de Usk | Adam Usk",1,"A4197 | Adam, of Usk, active 1400 | Adam Usk | Adam, of Usk, active 1400 | Adamus de Usk | Adamus de Usk | odamus de Uek | Adam, of Usk, active 1400 | Adwyus de Usk | Adam Usk | 1"
A4198,"Spangenberg, Johann","Ioannes Herdesianus Spangenbergius | Johann Spangenberg evangelischer Theologe und Reformator | Spang, Johann, 1484-1550 | Spangenberg, Johann, 1484-1550. | Spangenberg, Johannes 1484–1550 | Ioannes Herdesianus Spangenbergius | Johann Spangenberg evangelischer Theologe und Reformator | Spang, Johann, 1484-1550 | Spangenberg, Johannes 1484–1550 | Spangenberg, Johann, 1484-1550.",1,"A4198 | Spangenberg, Johann | Ioannes Herdesianus Spangenbergius | Johann Spangenberg evangelischer Theologe und Reformator | Spang, Johann, 1484-1550 | Spangenberg, Johann, 1484-1550. | Spangenberg, Johannes 1484–1550 | Ioannes Herdesianus Spangenbergius | Johann Spangenberg evangelischer Theologe und Reformator | Spang, Johann, 1484-1550 | Spangenberg, Johannes 1484–1550 | Spangenberg, Johann, 1484-1550. | 1"
A4199,"Adam, of Buckfield, approximately 1220-approximately 1294","Adam Bocfeldius, c. 1220-c. 1294 | Adam Buckfield | Adam de Bocfeld, c. 1220-c. 1294 | Adam of Bockenfield (ok. 1220-przed 1294) | Adam of Buckfield, c. 1220-c. 1294 | Adam, of Buckfield, approximately 1220-approximately 1294 | Adam, of Buckfield, environ 1220-environ 1294 | Adamus Buccenfeldus | Adamus, Bucfeldus, ca. 1220-ca. 1294",1,"A4199 | Adam, of Buckfield, approximately 1220-approximately 1294 | Adam Bocfeldius, c. 1220-c. 1294 | Adam Buckfield | Adam de Bocfeld, c. 1220-c. 1294 | Adam of Bockenfield (ok. 1220-przed 1294) | Adam of Buckfield, c. 1220-c. 1294 | Adam, of Buckfield, approximately 1220-approximately 1294 | Adam, of Buckfield, environ 1220-environ 1294 | Adamus Buccenfeldus | Adamus, Bucfeldus, ca. 1220-ca. 1294 | 1"
A4200,"Aethelwulf, active 803","Aedilvulfus Anglicus sec. IX monaco | Aedilvulfus Anglicus, monaco, sec. IX | Aedilvulfus Anglicus/ Aethelwulfus | Aethelwulf Anglo-Saxon monk and poet | Aethelwulf, fl. 803 | Aethelwulfus Lindisfarnensis ca. um 805 | Aethelwulf Anglo-Saxon monk and poet | Aedilvulfus Anglicus sec. IX monaco | Aethelwulfus Lindisfarnensis ca. um 805 | Aedilvulfus Anglicus, monaco, sec. IX | Aedilvulfus Anglicus/ Aethelwulfus | Aethelwulf, fl. 803",1,"A4200 | Aethelwulf, active 803 | Aedilvulfus Anglicus sec. IX monaco | Aedilvulfus Anglicus, monaco, sec. IX | Aedilvulfus Anglicus/ Aethelwulfus | Aethelwulf Anglo-Saxon monk and poet | Aethelwulf, fl. 803 | Aethelwulfus Lindisfarnensis ca. um 805 | Aethelwulf Anglo-Saxon monk and poet | Aedilvulfus Anglicus sec. IX monaco | Aethelwulfus Lindisfarnensis ca. um 805 | Aedilvulfus Anglicus, monaco, sec. IX | Aedilvulfus Anglicus/ Aethelwulfus | Aethelwulf, fl. 803 | 1"
A4201,"Rimbert, Saint, Archbishop of Hamburg and Bremen, approximately 830-888","Rimbert | Rimbert helgen, erkebiskop av Bremen | Rimbert saint 0830?-0888 | Rimbert, 0830?-0888, saint | Rimbert, archevêque de Hambourg et de Brême, saint | Rimbert, helgon, ärkebiskop av Hamburg-Bremen, d. 888 | Rimbert, Hl., -888 | Rimbert, Saint, Archbishop of Hamburg and Bremen, ca. 830-888 | Rimbert, Santo, 830-888 | Rimbert, z Brém-Hamburku, svatý, asi 830-888 | Rimbertus archiepiscopus catholicus | Rimbertus Hamburgensis | Rimbertus Hamburgensis (święty ; 830-888). | Rimbertus Hamburgensis 830-888) | Rimbertus Hamburgensis, s., m. 888",1,"A4201 | Rimbert, Saint, Archbishop of Hamburg and Bremen, approximately 830-888 | Rimbert | Rimbert helgen, erkebiskop av Bremen | Rimbert saint 0830?-0888 | Rimbert, 0830?-0888, saint | Rimbert, archevêque de Hambourg et de Brême, saint | Rimbert, helgon, ärkebiskop av Hamburg-Bremen, d. 888 | Rimbert, Hl., -888 | Rimbert, Saint, Archbishop of Hamburg and Bremen, ca. 830-888 | Rimbert, Santo, 830-888 | Rimbert, z Brém-Hamburku, svatý, asi 830-888 | Rimbertus archiepiscopus catholicus | Rimbertus Hamburgensis | Rimbertus Hamburgensis (święty ; 830-888). | Rimbertus Hamburgensis 830-888) | Rimbertus Hamburgensis, s., m. 888 | 1"
A4202,"Casas, Bartolomé de las, 1484-1566","Bartholomaeus Casaus | Casas, B. de las 1474-1566 Bartolomé de las | Casas, Bartolomé de las | Casas, Bartolomé de las, -1566 | Casas, Bartolomé de las, 1474-1566 | Casas, Bartolomé de las, 1484-1566 | Casas, Bartolomé de las, vesc. di Chiapa, 1474-1566 | Las Casas, Bartolomé de | Las Casas, Bartolomé de, 1474-1566, O.P. | Las Casas, Bartolomé de, 1474-1566.",1,"A4202 | Casas, Bartolomé de las, 1484-1566 | Bartholomaeus Casaus | Casas, B. de las 1474-1566 Bartolomé de las | Casas, Bartolomé de las | Casas, Bartolomé de las, -1566 | Casas, Bartolomé de las, 1474-1566 | Casas, Bartolomé de las, 1484-1566 | Casas, Bartolomé de las, vesc. di Chiapa, 1474-1566 | Las Casas, Bartolomé de | Las Casas, Bartolomé de, 1474-1566, O.P. | Las Casas, Bartolomé de, 1474-1566. | 1"
A4203,"Jansenius, Cornelius, 1585-1638","Cornelius Iansenius | Cornelius Jansen | Cornelius Otto Jansenius | Jansen, Cornelis, 1585-1638 | Jansen, Cornelis, vesc. di Ypres, 1585-1638 | Jansen, Cornelius, 1585-1638. | Jansenius, Cornelius | Jansenius, Cornelius, bisschop van Ieper, 1585-1638 | Jansenius, Cornelius, vesc. di Ypres, 1585-1638",1,"A4203 | Jansenius, Cornelius, 1585-1638 | Cornelius Iansenius | Cornelius Jansen | Cornelius Otto Jansenius | Jansen, Cornelis, 1585-1638 | Jansen, Cornelis, vesc. di Ypres, 1585-1638 | Jansen, Cornelius, 1585-1638. | Jansenius, Cornelius | Jansenius, Cornelius, bisschop van Ieper, 1585-1638 | Jansenius, Cornelius, vesc. di Ypres, 1585-1638 | 1"
