DLL Identifier,Authorized Name,Short Name,Author Name English,Author Name Latin,Author Name Native Language,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Other Alternative Name Form(s),Perseus Name,Wikidata URL
A3826,"Isaac, of Stella, -1169",,Isaac of Stella,Isaac de Stella,Isaac de L'Étoile,Isaac de Stella,Isaac de L'Étoile 11..-1169?,Isaak von Stella 1100-1169,,Isaac de Stella f. 1147-1155,,,
A3853,"Jacobus, de Dacia, approximately 1483-1567",,Brother Jacob,Jacobus de Dacia,Jakob den Danske,,,,,Jacobus approximately 1483-1567 de Dacia,,,
A3846,"Sabinus, Georg, 1508-1560",,,Georgius Sabinus,Georg Schuler,,Sabinus Georg Schuler 1508-1560,"Sabinus, Georg 1508-1560",,"Sabinus, Georgius",,,
A3827,"Zsámboki, János, 1531-1584",,,Johannes Pannonicus Sambucus,János Zsámboki,,Zsámboky János 1531-1584,"Sambucus, Johannes 1531-1584",,"Zsamboki, Janos 1531-1584",,,
A3842,"Yonge, James",,James Yonge,,,,Yonge James 13..-14.. traducteur,,,"Yonge, James",,,
A3831,"Acton, John, -1350",,John Acton,Johannes de Actona,,,Acton Jean d' 12..-1350,"Acton, John d. 1350",,"Acton, John -1350",,,
A3840,"Alcock, John, 1430-1500",,John Acton,Johannes Alcock,,,Alcock John ca 1430-1500,Johannes Alcock 1430-1500,,"Alcock, John 1430-1500",,,
A3848,"Orsisius, Saint",,St. Orsisius,Orsiesius abbas Tabennensis,,,Horsièse saint,Orsiesius Sanctus 305-390,,Orsiesius,,,
A3847,"Sautel, Pierre-Juste, 1613-1662",,,Petrus Justus Sautel,Pierre-Juste Sautel,,,"Sautel, Pierre-Juste 1613-1662",,"Sautel, Pierre Juste 1613-1662",,,
A3828,"Schöpper, Jacob, -1554",,,Iacobus Schoepperus,Jacob Schöpper,,Schoepper Jacob 151.?-1554,"Schöpper, Jacob 1512-1554",,"Schoepper, Jacob 1510-1554",,,
A3825,"Siber, Adam, 1515-1583",,,Adamus Siberus,Adam Siber,,,"Siber, Adam 1516-1584",,Adam Siber,,,
A3863,"Manetti, Giannozzo, 1396-1459",,,Iannotius Manettus,Giannozzo Manetti,"Manetti, Giannozzo 1396-1459",Manetti Giannozzo 1396-1459,"Manettus, Iannotius 1396-1459","Manetti , Giannozzo","Manetti, Gianozzo",,,
A3860,"Marrasio, Giovanni, approximately 1404-1452",,,Ioannes Marrasius,Giovanni Marrasio,,,Ioannes Marrasius ca. 1405-1457/69,,"Marrasio, Giovanni c. 1405-1457",,,
A3849,"Masen, Jakob, 1606-1681",,,Jacobus Masenius,Jacob Masen,"Masen, Jacob 1606-1681",Masen Jacob 1606-1681,"Masen, Jacob 1606-1681",,"Masen, Jakob 1606-1681",,,
A3872,"Massimi, Pacifico, approximately 1400-approximately 1500",,,Pacificus Maximus,Pacifico Massimi,,Massimo Pacifico 14..-1500?,,"Massimi , Pacifico","Massimo, Pacifico 14..-1500?",,,
A3866,"Hugh, Candidus, approximately 1095-approximately 1160",,,Hugh Albus/ Hugh Candidus,,,,,,,,,
A3895,"Hugh, the Chanter, -1139?",,Hugh the Chanter,Hugo Cantor/ Hugo Scottovagina,Hugh Sottewaine,,Hugo Cantor 1080?-1139?,Hugo Cantor ca. 12. Jh.,,Hugh -1139? the Chanter,,,
A3864,"Mercier, Nicolas, -1657",,,Nicolaus Mercerius,Nicolas Mercier,,Mercier Nicolas 15..-1657,"Mercier, Nicolas -1657",,"Mercier, Nicolas 15..-1657",,,
A3861,"Morhof, Daniel Georg, 1639-1691",,,Danielus Georgius Morhofius,Daniel Georg Morhof,,Morhof Daniel Georg 1639-1691,"Morhof, Daniel Georg 1639-1691","Morhof , Daniel Georg","Morhof, Daniel Georg 1639-1691",,,
A3850,"Morisot, Claude-Barthélemy, 1592-1661",,,Claudius Bartholomaeus Morisotus,Claude-Barthélemy Morisot,,Morisot Claude-Barthélemy 1592-1661,"Morisot, Claude Barthélemy 1592-1661","Morisot , Claude Barthélemy","Morisot, Claude Barthelemy 1592-1661",,,
A3873,"Muret, Marc-Antoine, 1526-1585",,,Marcus Antonius Muretus,Marc-Antoine Muret,,Muret Marc-Antoine 1526-1585,"Muret, Marc-Antoine 1526-1585",,"Muret, Marc Antoine 1526-1585",,"Muret, Marc-Antoine, 1526-1585",
A3858,"Hugo, de Lawton, active 14th century",,Hugh Lawton,Hugo de Lanton,,,,,,,,,
A3856,"Hugh, de Novo Castro, active 1320",,Hugh Newcastle,Hugo de Novocastro,,,Hugues de Novocastro 1280?-13..,,,Hugues de Novocastro 1280?-13.,,,
A3865,"Nobili, Roberto de' 1577-1656",,,,Roberto de Nobili,,,"Nobili, Roberto de' 1577-1656",,"De Nobili, Roberto 1577-1656",,,
A3877,"O'Sullivan-Beare, Philip, 1590?-1660?",,,Philippus O'Sullevanus Bearrus,Philip O'Sullivan-Beare,,,"O'Sullevan, Philippus 1590-1660",,"O'Sullevan, Philippus",,,
A3862,"Papeus, Petrus, active 16th century",,Peter Papeus,Petrus Papeus,,,,,,,,,
A3851,"Peiresc, Nicolas Claude Fabri de, 1580-1637",,,Nicolaus Claudius Fabricius Perescius,Nicolas-Claude Fabri Peiresc,,Peiresc Nicolas-Claude Fabri 1580-1637 seigneur de,"Peiresc, Nicolas Claude Fabri de 1580-1637",,"Peiresc, Nicolas Claude Fabri 1580-1637 seigneur de",,,
A3859,"Humphrey, Duke of Gloucester, 1391-1447",,Humphrey of Lancaster/ Humphrey Plantagenet,,,,Humphrey duc de Gloucester 1391-1447,"Humphrey Gloucester, Herzog 1391-1447",,Humphrey ca1390-1447 duke of Gloucester,,,
A3852,"Polignac, Melchior de, 1661-1742?",,,,Melchior de Polignac,,Polignac Melchior de 1661-1741,"Polignac, Melchior de 1661-1741",,"Polignac, Melchior de",,,
A3854,"Johannes, de Aquila, -1478",,,Giocanni Aquilano,Giovanni da L'Aquila,,,Johannes Aquilanus -1479,Giovanni : da L'Aquila,"Aquila, Johannes active 1378-1400",,,
A3843,"Warwick, Anne Dudley, Countess of, 1538-1587",,Anne Dudley,,,,Seymour Anne 153.?-1588,"Warwick, Anne Dudley of 1538-1588",,"Seymour, Anne 153.?-1588",,,
A3890,"Henry VIII, King of England, 1491-1547",,Henry VIII,Henricus VIII,,"Enrique VIII, Rey de Inglaterra",Henri VIII roi d'Angleterre et d'Irlande 1491-1547,"Heinrich VIII. England, König 1491-1547",,Henrik 1491-1547 kung av England VIII,,,
A3891,"Bullock, Henry, -1526",,Henry Bullock,Henry Bovillus,,,,"Bullock, Henry",,"Bullock, Henry -1526",,,
A3889,"Lloyd, John, 1557 or 1558-1603",,John Lloyd,Ioannis Luidius,,,,"Lloyd, John 1558-1603",,"Lloyd, John 1557 or 1558-1603",,,
A3869,"Maffei, Giovanni Pietro, 1536?-1603",,John Peter Maffei,Ioannes Petrus Maffeius Bergomatis,Giovanni Pietro Maffei,,Maffei Giovanni Pietro 1533?-1603,"Maffei, Giovanni Pietro 1533-1603",,"Maffei, Giovanni Pietro ca 1536-1603",,,
A3892,"Baptista, Mantuanus, 1448-1516",,,,Giovanni Battista Spagnoli,Baptista Mantuanus,Spagnoli Battista 1447-1516,Baptista Mantuanus 1447-1516,"Spagnoli , Giovanni Battista","Spagnuoli, Battista 1448-1516 O.C.",,"Baptista, Mantuanus, 1448-1516",
A3875,"Marcile, Théodore, 1548-1617",,,Theodorus Marcilius,Théodore Marcile,"Marcilius, Theodorus 1548-1617",Marcilius Theodorus 1548-1617,"Marcilius, Theodorus 1548-1617",,"Marcilius, Theodorus",,,
A3885,"Marot, Clément, 1496-1544",,,,Clément Marot,"Marot, Clément 1496-1544",Marot Clément 1496-1544,"Marot, Clément 1496-1544",,"Marot, Clément 1495?-1544",,,
A3888,"Mencke, Johann Burkhard, 1674-1732",,,Ioannes Burchardus Menckenius,Johann Burchard Mencke,"Mencke, Johann Burkhard 1674-1732",Mencke Johann Burchard 1674-1732,"Mencke, Johann Burkhard 1674-1732",,"Mencke, Johann Burkhard",,,
A3876,"Moor, Robert, 1568-1640",,Robert Moore,,Robert Moor,,,"Moore, Robert",,,,,
A3886,"Morata, Olympia Fulvia, 1526-1555",,Olympia Fulvia Morata,,Olimpia Fulvia Morata,,Morata Olympia Fulvia 1526-1555,"Morata, Olympia Fulvia 1526-1555",,"Morata, Olympia Fulvia",,,
A3867,"Naldi, Naldo, 1439-approximately 1520",,,Naldus Naldius‏ Florentinus,Naldo Naldi,,,"Naldi, Naldo 1439-1513",,"Naldi, Naldo 1439-approximately 1520",,,
A3896,"Nannius, Petrus, 1500-1557",,,Petrus Nannius,Pierre Nanninck,"Nanninck, Pierre 1500-1557",Nanninck Pierre 1500-1557,"Nanninck, Pieter 1500-1557",,"Nannius, Petrus ca. 1496-1557",,,
A3870,"Naogeorg, Thomas, 1511-1563",,,,Thomas Naogeorgus,"Kirchmeyer, Thomas 1508-1563",Naogeorgus Thomas 1511-1563,"Naogeorgus, Thomas 1508-1563",,"Naogeorgus, Thomas 1511-1563",,"Naogeorgus, Thomas, 1508-1563",
A3881,"Nifo, Agostino, approximately 1473-1545?",,,Augustinus Niphus,Agostino Nifo,"Nifo, Agostino ca. 1473-1545?",Nifo Agostino 1473?-1538?,,,"Nifo, Agostino 1462?-1546?",,,
A3887,"Palingenio Stellato, Marcello, approximately 1500-approximately 1543",,,Marcellus Palingenius Stellatus,Marcello Palingenio Stellato,,,"Palingènio Stellato, Marcello 1500-1543",,"Manzolli, Pietro Angelo, ca. 1500-ca. 1543",,,
A3884,"Ignatius, Saint, Bishop of Antioch",,St. Ignatius of Antioch,Ignatius Antiochenus,,"Ignacio, Santo, Obispo de Antioquía",,Ignatius Antiochenus -110,Ignatius : Antiochenus,Ignace évêque d'Antioche,,,
A3868,Henricus Francigena,,Henricus Francigena,,,,,Henricus Francigena ca. um 1121/24,,,,,
A3897,"Ulpianus, Domitius",Ulpian,,Gnaeus Domitius Annius Ulpianus,,"Ulpiano, Domicio",Ulpien 0160-0225,"Ulpianus, Domitius 170-228",,Ulpien 0160-0225,,"Ulpianus, Domitius, ca. 160-228",
A3871,"Ingulf, 1030?-1109",,Ingulf,Ingulphus Croylandensis,,,Ingulphus Croylandensis 1030-1109,Ingulphus Croylandensis 1030-1109,,Ingulf 1030?-1109,,,
A3878,"Pio, Giovanni Battista, -1540?",,,,Giovanni Battista Pio,,Pio Giovanni Battista 147.-1540?,"Pio, Giovanni Battista 1475-1543",,"Pio, Giovanni Battista -1540?",,,
A3905,"Herbert, George, 1593-1633",,George Herbert,,,"Herbert, George 1593-1633",Herbert George 1593-1633,"Herbert, George 1593-1633",,"George Herbert Welsh-born English poet, orator and Anglican priest",,,
A3916,"Ulfilas, Bishop of the Goths",,"Ulfilas, Bishop of the Goths",Ulfilas,Wulfila,Ulfila ca. 311-381,Ulfilas 0311?-0383?,Ulfilas 310-383,Ulfilas,Ulfila ca. 311-381,,,
A3907,"Janicki, Klemens, 1516-1543",,,Clemens Ianicius,Klemens Janicki,,,"Janicki, Klemens 1516-1543",,"Janicki, Klemens",,,
A3912,"Bracton, Henry de, -1268",,Henry of Bracton,Henricus Brachedenus,Henry of Bratton,,Bracton Henry de 1210-1268,Henricus de Bracton -1268,,"Bracton, Henry of -1268",,,
A3917,"Henry, of Lexington, -1258",,,Henricum de Lexington,Henry of Lexington,,,,,,,,
A3908,"Parker, Henry, -after 1504",,Henry Parker,Henricus Parker,,,,Henricus Parker ca. -1504,,,,,
A3914,"Sutton, Henry, -approximately 1581",,Henry Sutton,,,,,,,"Sutton, Henry -approximately 1581",,,
A3929,"Lessing, Gotthold Ephraim, 1729-1781",,,,Gotthold Ephraim Lessing,"Lessing, Gotthold Ephraim 1729-1781",Lessing Gotthold Ephraim 1729-1781,"Lessing, Gotthold Ephraim 1729-1781","Lessing , Gotthold Ephraim","Lessing, Gotthold Ephraim",,,
A3936,"Locher, Jacob, 1471-1528",,Jacob Locher,Iacobus Locherus,Jakob Locher,,Locher Jakob 1471-1528,"Locher, Jakob 1471-1528",,"Locher, Iacobus",,,
A3906,"Lynch, John, approximately 1599-approximately 1673",,John Lynch,Gratianus Lucius,,,,"Lynch, John 1599-1673",,"Lynch, John 1599-1673",,,
A3933,"Salmon Macrin, Jean, 1490-1557",,,,Jean Salmon,,Salmon Jean 1490-1557,"Salmon, Jean 1490-1557","Salmon , Jean","Salmon, Jean",,,
A3879,"Magliabechi, Antonio, 1633-1714",,,Antonius Magliabechius,Antonio Magliabechi,,Magliabechi Antonio 1633-1714,"Magliabechi, Antonio 1633-1714","Magliabechi , Antonio","Magliabechi, Antonio",,,
A3901,"Honorius, Magister, -approximately 1213",,Master Honorius of Kent,Magister Honorius,,,Honorius 11..-1213?,,,Honorius -ca.1208 Magister,,,
A3898,"Massieu, Guillaume, 1665-1722",,,Gulielmus‏ Massieu,Guillaume Massieu,,Massieu Guillaume 1665-1722,"Massieu, Guillaume 1665-1722",,Guillaume Massieu,,,
A3882,"Meder, Johann",,,Iohann Meder,,,Meder Johann 14..-15..,"Meder, Johannes -1518",,,,,
A3880,"Ménage, Gilles, 1613-1692",,,Aegidius Menagius,Gilles Ménage,"Ménage, Gilles 1613-1692",Ménage Gilles 1613-1692,"Ménage, Gilles 1613-1692","Ménage , Gilles","Ménage, Gilles 1613-1692",,,
A3893,"Molza, Francesco Maria, 1489-1544",,,,Francesco Maria Molza,,Molza Francesco Maria 1489-1544,"Molza, Francesco Maria 1489-1544","Molza , Francesco Maria","Molza, Francesco Maria",,,
A3899,"Du Moulin, Peter, 1601-1684",,Peter Du Moulin,Petrus Molinaeus,Pierre Du Moulin,,Du Moulin Pierre 1600-1684,"Du Moulin, Pierre 1601-1684",,"Du Moulin, Peter 1601-1684",,,
A3883,"Latimer, Hugh, 1485?-1555",,Hugh Latimer,Hugo Latimerus,,,,"Latimer, Hugh 1485-1555",,"Latimer, Hugh 1485?-1555",,,
A3894,"Nomi, Federigo, 1633-1705",,,,Federigo Nomi,,Nomi Federigo 1633-1705,"Nomi, Federigo 1633-1705","Nomi , Federigo","Nomi, Federigo 1633-1705",,,
A3910,"Hortensius, Lambertus, 1500 or 1501-1574",,,Lambertus Hortensius,Lambertus Hortensius,"Hortensius, Lambertus 1501?-1574",,"Hortensius, Lambertus 1500-1571",,Lambertus Hortensius,,,
A3911,"Hugo, Herman, 1588-1629",,Herman Hugo,Hermannus Hugo,,,Hugo Hermann 1588-1629?,"Hugo, Hermann 1588-1629","Hugo , Herman","Hugo, Herman 1588-1629?",,,
A3924,"Hussowski, Mikołaj, approximately 1475-1522",,,Nicolaus Hussovianus,Mikołaj Hussowski,,,,,"Hussowski, Mikołaj ca 1480-post 1533",,,
A3913,"Henry, of Blois, Bishop of Winchester, approximately 1090-1171",,Henry of Blois,,Henri de Blois,,,,,"Henry of Blois Abbot of Glastonbury Abbey from 1126, and Bishop of Winchester from 1129 to his death",,,
A3925,"Le Febvre, François Antoine, 1670?-1737",,,,,,,,,,,,
A3935,"Henry, of Saltrey, active 1150",,Henry of Saltrey,Henricus Salteriensis,H. of Saltrey,,Henri de Saltrey,Henricus Salteriensis ca. um 1150,,Henry 1150 fl of Saltry,,,
A3909,"Lilienthal, Michael, 1686-1750",,,,Michael Lilienthal,,,"Lilienthal, Michael 1686-1750",,"Lilienthal, Michael 1686-1750",,,
A3915,"Loschi, Antonio, -1441",,,Antonius Luschus,Antonio Loschi,,Loschi Antonio 1368?-1441,"Luschus, Antonius 1368-1441",,"Luschus, Antonius ca 1368-1441",,,
A3904,"Melville, Andrew, 1545-1622",,Andrew Melville,Andrea Melvinus,,,Melville Andrew 1545-1622,"Melville, Andrew 1545-1622",,"Melville, Andrew",,,
A3902,"Montaigne, Michel de, 1533-1592",,,,Michel de Montaigne,"Montaigne, Michel de 1533-1592",Montaigne Michel de 1533-1592,"Montaigne, Michel Eyquem de 1533-1592","Montaigne , Michel : de","Montaigne, Michel Eyquem de 1533-1592",,,
A3903,"Ocland, Christopher, -1590?",,Christopher Ocland,Christophorus Oclandus,,,,"Ockland, Christopher",,"Ocland, Christopher",,,
A3900,"Pirckheimer, Willibald, 1470-1530",,,Bilibaldus Pirckheimerus,Willibald Pirckheimer,,Pirckheimer Willibald 1470-1530,"Pirckheimer, Willibald 1470-1530","Pirckheimer , Willibald","Pirkheimer, Williwald 1470-1530",,,
A3977,"Fraunce, Abraham, active 1587-1633",,Abraham Fraunce,,,,,,,"Fraunce, Abraham",,,
A3975,"Luís, de Granada, 1504-1588",,Louis of Granada,Ludovicus Granatensis,Luis de Granada,Luis de Granada (O.P.) 1504-1588,Louis de Grenade dominicain 1504-1588,Luis de Granada 1504-1588,Luis : de Granada,Luis de Granada 1504-1588,,,
A3972,"Groot, Willem de 1597-1662",,,Guilielmus Grotius,,"Groot, Willem de 1597-1662",Grotius Guilielmus 1597-1662,"Groot, Willem de 1597-1662",,"Groot, Willem de",,,
A3940,"L'Hospital, Michel de, 1507-1573",,,,Michel de L'Hospital,"L'Hospital, Michel de 1507?-1573",L'Hospital Michel de 1507?-1573,"L'Hospital, Michel de 1507-1573",,"L'Hospital, Michel de asi 1507-1573",,,
A3926,"Hossche, Sidronius de 1596-1653",,,Sidronius Hosschius,,,,"Hossche, Sidronius de 1596-1653",,Sidron de Hossche,,,
A3931,"Haymo, of Faversham, -1244",,Haymo of Faversham,,,,,Haimo de Faversham ?-1244,,Haymo -1244 of Faversham,,,
A3941,"Huet, Pierre-Daniel, 1630-1721",,,Petrus Daniel Huetius,Pierre-Daniel Huet,,Huet Pierre-Daniel 1630-1721,"Huet, Pierre Daniel 1630-1721",,Pierre Daniel Huet,,,
A3946,"Clement I, Pope",,Pope Clement I,Clemens Romanus,,,Clément I pape 00..-0097?,Klemens I. Papst ca. 1. Jh.,,Clément,,"Clement I, Pope",
A3943,"Johnstoun, Arthur, 1587-1641",,Arthur Johnston,Arturus Jonstonus,Arthur Johnstoun,,Johnston Arthur 1579?-1641,"Johnstoun, Arthur 1587-1641",,"Johnstoun, Arthur",,,
A3927,"Macropedius, Georgius, 1487-1558",,,Georgius Macropedius,Joris van Langevelt,,Macropedius Georgius 1487-1558,"Macropedius, Georgius 1487-1558","Macropedius , Georgius","Macropedius, Georgius 1487-1558",,,
A3932,"Landino, Cristoforo, 1424-1504",,,Christophorus Landinus,Cristoforo Landino,,Landino Cristoforo 1424-1492,"Landino, Cristoforo 1424-1498","Landino , Cristoforo","Landino, Cristoforo 1425-1498",,,
A3942,"Landi, Ortensio, approximately 1512-approximately 1553",,,,Ortensio Lando,"Lando, Ortensio ca. 1512-1556",Lando Ortensio 1512?-1553?,"Landi, Ortensio 1512-1553","Lando , Ortensio","Landi, Ortensio c.1512-c.1553",,,
A3938,"Henry, of Harclay, approximately 1270-1317",,Henry of Harclay,Henricus de Harclay,,,Henry of Harclay 1270?-1317,Henricus de Harclay 1270-1317,,Henry c. 1270-1317 of Harclay,,,
A3947,"Knighton, Henry, active 1363",,,Henricus Cnitthon,Henry Knighton,,Knighton Henry ....-1396?,"Knighton, Henricus -1396",,"Knighton, Henry -ca 1396",,,
A3944,"Henricus, de Soliaco, -1195",,Henry de Sully,Henricus de Soliaco,,,,Henricus de Soliaco -1195,,,,,
A3928,"Leo, Bernardino, active 16th century",,,Bernardus Leo,,,,,,,,,
A3939,"Herman, the Archdeacon, -approximately 1098",,Herman the Archdeacon,Hermannus Archdiaconus,,,,,,Herman -approximately 1098 the Archdeacon,,,
A3918,"Lippi, Lorenzo, -1485",,,Laurentius Lippius,Lorenzo Lippi,"Lippi, Lorenzo ca. 1440-1485",Lippi Lorenzo 14..-1485,Laurentius Lippius 1440-1485,"Lippi , Lorenzo",Laurentius 1442-1485 Lippius,,,
A3923,"Zacharie, de Lisieux, père, 1596-1661",,,Zacharias Lexoviensis,Zacharie de Lisieux,,Zacharie de Lisieux capucin 1596-1661,,,"Firmianus, Petrus",,,
A3920,"Lubin, Eilhard, 1565-1621",,,Eilhardus Lubinus,Eilhard Lubin,,Lubin Eilhard 1565-1621,"Lubin, Eilhard 1565-1621",,"Lubin, Eilhard 1565-1621",,,
A3968,"Flaminio, Marco Antonio, 1498-1550",,,Marcus Antonius Flaminius,Marcantonio Flaminio,,Flaminio Marco Antonio 1498-1550,"Flaminio, Marco Antonio 1498-1550","Flaminio , Marco Antonio",Marcus Antonius Flaminius,,"Flaminio, Marco Antonio, 1498-1550",
A3974,"Gager, William, active 1580-1619",,William Gager,,,,Gager William 1555-1622,"Gager, William",,"Gager, William",,,
A3984,"Gilbert of Stanford, active 12th century",,Gilbert of Stanford,Gilbertus Stanfordiensis,,,Gilbert of Stanford,,Gillebertus : de Stanfordia,Gilbert of Stanford,,,
A3954,"Garzoni, Giovanni, 1419-1505",,,Johannes Garzonius,Giovanni Garzoni,,Garzoni Giovanni 1419-1505,"Garzoni, Giovanni 1419-1505","Garzoni , Giovanni","Garzoni, Giovanni",,,
A3969,"Giberti, Giovanni Matteo, 1495-1543",,,Ioannes Matthaeus Gibertus,,,Giberti Giovanni Matteo 1495-1543,"Giberti, Giovanni Matteo 1495-1543",,"Giberti, Gian Matteo 1495-1543",,,
A3950,"Giraldi, Lilio Gregorio, 1479-1552",,,,Lilio Gregorio Giraldi,"Giraldi, Lilio Gregorio 1479-1552",Giraldi Giglio Gregorio 1479-1552,"Giraldi, Giglio Gregorio 1479-1552",,"Giraldi, Lilio Gregorio 1479-1552",,,
A3966,"Adrian IV, Pope, -1159",,Adrian IV,Hadrianus IV,Nicholas Breakspear,,Adrien IV pape 1100?-1159,,,Hadrianus PP m. 1159 IV,,,
A3985,"Gray, Thomas, 1716-1771",,Thomas Gray,,,"Gray, Thomas 1716-1771",Gray Thomas 1716-1771,"Gray, Thomas 1716-1771",,"Gray, Thomas 1716-1771",,,
A3957,"Gretser, Jakob, 1562-1625",,,Iacobus Gretserus,Jacob Gretser,"Gretser, Jacob 1562-1625",Gretser Jacob 1562-1625,"Gretser, Jacob 1562-1625",,"Gretser, Jacob 1562-1625 S.I.",,,
A3982,"Guarino, Veronese, 1374-1460",,,Guarinus Veronensis,Guarino Guarini,Guarino Veronese 1374-1460,Guarino de Vérone 1374-1460,Guarinus Veronensis 1374-1460,,"Guarini Veronese, Guarino 1374-1460",,,
A3955,"Guyet, François, 1575-1655?",,,Franciscus Guietus,François Guyet,,Guyet François 1575-1655,"Guyet, François 1575-1655",,"Guyet, François 1575-1655",,,
A3970,"Havre, Jean van 1551-1625",,,Joannes Havraeus,Jean van Havre,,Van Havre Jean 1551-1625,"Havre, Jean van 1551-1625",,"Van Havre, Jean 1551-1625",,,
A3951,"Heinsius, Daniel, 1580-1655",,Daniel Heins,,Daniel Heinsius,,Heinsius Daniel 1580?-1655,"Heinsius, Daniel 1580-1655","Heinsius , Daniel","Heinsius, Daniel 1580?-1655",,"Heinsius, Daniel 1580-1655",
A3945,"Longolius, Christophorus, 1488-1522",,,Christophorus Longolius,Christophe de Longueil,,Longueil Christophe de 1488-1522,"Longolius, Christophorus 1488-1522",,"Longolius, Christophorus",,,
A3961,"Gilbert Crispin, Abbot of Westminster, approximately 1045-approximately 1117",,Gilbert Crispin,Gilbertus Crispinus,Gilbert Crépin,,Crispinus Gislebertus 1045?-1114?,Gilbertus Crispinus 1045-1117,"Crispinus , Gilbertus",Gilbert Crispin Abbot of Westminster,,,
A3967,"Draxe, Thomas, -1618",,Thomas Draxe,,,,,"Draxe, Thomas -1618",,"Draxe, Thomas -1618",,,
A3958,"Foliot, Gilbert, -1188",,,Gilbertus Foliotus,Gilbert Foliot,,Gilbert Foliot 1110?-1187,,,Gilbert Foliot,,,
A3956,"Gilbert, of Hoyland",,Gilbert of Holland,Gilbertus Hoilandia,Gilbert of Hoyland,,Gilbert de Holland 11..-1172,Gilbertus de Hoilandia -1172,,Gilbertus 11..-1172) (de Hoilandia ;,,,
A3971,"Facio, Bartolomeo, -1457",,,Bartholomaeus Facius,Bartolomeo Facio,,Facio Bartolomeo 1400?-1457,"Facius, Bartholomaeus ca.1400-1457","Facio , Bartolomeo","Facio, Bartolomeo ca 1400-1457",,,
A3953,"Ferrari, Giovanni Battista, 1584-1655",,,Joannes Baptista Ferrarius,Giovanni Battista Ferrari,,Ferrari Giovanni Battista 1584-1655,"Ferrari, Giovanni Battista 1584-1655",,"Ferrari, Giovanni Battista 1584-1655",,,
A4016,"Correia, Thome, 1536-1595",,Thomas Correa,,Tomé Correia,"Correa, Thomas",,"Correia, Thome 1536-1595",,"Correa, Tommaso",,,
A4017,"Decembrio, Angelo, approximately 1415-1462",,,,Angelo Camillo Decembrio,,Decembrio Angelo Camillo 1415?-1466?,Angelus Decembrius 1418-1466,,"Decembrio, Angelo Camillo",,,
A4014,"Does, Johan van der 1545-1604",,,Janus Dousa,Jan van der Does,"Does, Johan van der 1545-1604",Van der Does Johan 1545-1604,"Does, Johan van der 1545-1604",,"Does, Johan van der",,,
A3980,"Gervase, of Tilbury, approximately 1160-approximately 1211",,Gervase of Tilbury,Gervasius Tilburiensis,,,,,,Gervase ca. 1160-ca. 1211 of Tilbury,,,
A3976,"Drummond, William, 1585-1649",,William Drummond,Guilielmus Drummondus,,,Drummond William 1585-1649,"Drummond, William 1585-1649",,William Drummond of Hawthornden British writer,,,
A3973,"Dupuy, Pierre, 1582-1651",,,Petrus Puteanus,Pierre Dupuy,,,"Dupuy, Pierre 1582-1651",,"Dupuy, Pierre 1582-1651",,,
A3983,"Emili, Paolo, -1529",,,Paulus Aemilius,Paolo Emili,"Emili, Paolo 1460-1529",Emili Paolo 1460-1529,"Emili, Paolo 1460-1529","Emili , Paolo","Emili, Paolo",,,
A3965,"Ertel, Anton Wilhelm",,,Antonius Guilielmus Ertl,Anton Wilhelm Ertl,,Ertl Anton Wilhelm 1654-1715?,"Ertl, Anton Wilhelm 1654-1715",,"Ertl, Anton Wilhelm 1654-ca. 1715",,,
A3994,"Estienne, Henri, 1460?-1520",Stephanus,Henri Estienne the Elder,Henricus Stephanus,Henri Estienne,"Estienne, Henri fl. 1502-1520",Estienne Henri 1460?-1520,"Estienne, Henri 1460-1520",,"Estienne, Henri ca. 1460-1520",,,
A3962,"Fisher, Payne, 1616-1693",,Payne Fisher,,,,,"Fisher, Payne 1616-1693",,"Fisher, Payne 1616-1693",,,
A3991,"Gilbert, of Limerick, approximately 1070-1145",,Gilbert,Gilbertus Lumnicensis,Gille,,,Gilbertus Lumnicensis 1070-1145,,,,,
A3959,"Frischlin, Nicodemus, 1547-1590",,,,Nicodemus Frischlin,,Frischlin Nicodemus 1547-1590,"Frischlin, Nicodemus 1547-1590",,"Nicodemus Frischlin späthumanistischer Philologe, neulateinischer Dramatiker und Lyriker",,,
A3997,"Foro-Juliensis, Titus Livius de",,,,Tito Livio Frulovisi,,Frulovisi Tito Livio 1400?-14..,,"Frulovisi , Tito Livio","Foro-Juliensis, Titus Livius de 14..-1456",,,
A3963,"Gast, Johannes, -1552",,,Ioannes Gastius,Johannes Gast,,,"Gast, Johann 1XXX-1552",,"Gast, Johann ....-1552?",,,
A3992,"Giannettasio, Niccolò Partenio, 1648-1715",,,Nicolaus Parthenius Giannettasius,Nicola Partenio Giannettasio,,Giannettasio Niccolò Partenio 1648-1715,"Giannettasio, Niccolò Partenio 1648-1715","Giannettasio , Nicola Partenio","Giannettasio, Nicola Partenio 1648-1715",,,
A3960,"Gnaphaeus, Gulielmus, 1493-1568",,,Gulielmus Gnaphaeus,Willem Claesz de Volder,"Volder, Willem de 1493-1568",Gnapheus Wilhelm 1493-1568,"Volder, Willem de 1493-1568",,"Gnaphaeus, Gulielmus",,"Gnaphaeus, Gulielmus 1493-1568",
