DLL Identifier,Authorized Name,Short Name,Author Name English,Author Name Latin,Author Name Native Language,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Other Alternative Name Form(s),Perseus Name,Wikidata URL
A2895,"Menander, Arrius, active 2nd/3rd century A.D.",,,Arrius Menander,,,,"Menander, Arrius 2./3. Jh.",,,,,
A2876,"Papirius Iustus, active 2nd century A.D.",,,Papirius Iustus,,,,Papirius Iustus 2. Jh.,,,,,
A2894,"Tarruntenus Paternus, active 2nd century A.D.",,,Tarruntenus Paternus,,,,Tarruntenus Paternus 2. Jh.,,,,,
A2893,"Venuleius Saturninus, active 1st century A.D.",,,Venuleius Saturninus,,,,Venuleius Saturninus 1. Jh.,,,,,
A2873,"Saturninus, Claudius, active 2nd century A.D.",,,Claudius Saturninus,,,,"Saturninus, Claudius 2. Jh.",,,,,
A2889,"Proculus Iurisconsultus, active 20-50 A.D.",,,Proculus Iuriscolnsultus,,,,Proculus Iurisconsultus v20-50,,,,,
A2871,"Marcellus, Marcus Claudius, -45 B.C.",,,Marcus Claudius Marcellus,,,,,,,,,
A2887,Javolenus Priscus,,,Iavolenus Priscus,,,,"Iavolenus Priscus, Gaius Octavius Tidius Tossanius Lucius",,Gaius Octavius Tidius Tossianus Lucius Iavolenus Priscus,,,
A2869,Marianus,,,Marianus,,,,,,,,,
A2492,"Strecker, Karl, 1861-1945",,,,,,,,,,,,
A2495,"Préchac, François",,,,,,,,,,,,
A2493,"Simon, Johann Georg, approximately 1636-1696",,,,,,,,,,,,
A2494,"Komarek, Giovanni Giacomo, 1648-1706",,,,,,,,,,,,
A2491,"Anaritius, -approximately 922",,,,,"Al-Nayrïzï, Al-Fadl b. Hätim",Nayrīzī al-Faḍl ibn Ḥātim Abū al-ʿAbbās al- 0897-0922,"Nairīzī, al-Faḍl Ibn-Ḥātim an- -922",,"Al-Nayrïzï, Al-Fadl b. Hätim",Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī,,
A2508,"Ignatios, the Deacon, approximately 775-approximately 848",,,,,,,,,Ignatios ca. 775-ca. 848 the Deacon,,,
A2755,Alberico da Marcellise,,,,,,,,,,,,
A2923,"Filetico, Martino, approximately 1430-approximately 1490",,,,,,Phileticus Martinus 1430?-1490?,"Filetico, Martino 1430-1490","Filetico , Martino","Phileticus, Martinus 1430?-1490?",,,
A2883,Aelius Sabinus,,,Aelius Sabinus,,,,Aelius Sabinus ca. Ende 3. Jh.,,,,,
A2901,Saufeius,,,Saufeius,,,,,,,,,
A2881,Sextius Niger,,,Sextius Niger,,,,Sextius Niger 10-40,,,,,
A2899,Turdulus Gallicanus,,Turdulus Gallicanus,Turdulus Gallicanus,,,,,,,,,
A2914,Vennonius,,Vennonius,Vennonius,,,,Vennonius v2. Jh.,,,,,
A2898,"Tuccianus, Poeta, 5th or 5th/6th Century A.D.",,,"Tuccianus, Poeta",,,,Tuccianus Poeta 5. bzw. 5./6. Jh.,,,,,
A2897,"Balbillus, Astrologus, 1st Century A.D.",,,"Balbillus, Astrologus",,,,Balbillus Astrologus 1. Jh.,,,"Balbillus, Ephesius, Barbillus, Ephesius",,
A2878,"Lucceius, Lucius, active 1st century A.D.",,,Lucius Lucceius,,,,"Lucceius, Lucius v1. Jh.",,,,,
A2896,"Clemens, Terentius, active 2nd century A.D.",,,Terentius Clemens,,,,"Clemens, Terentius 2. Jh.",,,,,
A2912,"Tryphoninus, Claudius, active 2nd century-3rd century",,,Claudius Tryphoninus,,,,,,,,,
A2910,"Trebonius, C.",Trebonius,,Caius Trebonius,,,,,,,,,
A2892,"Marcellus, Ulpius, active 135",,,Ulpius Marcellus,,,,,,,,,
A2891,"Verus, Lucius Aurelius, Emperor of Rome, 130-169",,Verus,Lucius Aurelius Verus,,,,"Verus Römisches Reich, Kaiser 130-169",,Lucius Verus 0130-0169 empereur romain,,,
A2890,Licinius Rufinus,,,Licinius Rufinus,,,,Licinius Rufinus ca. 2./3. Jh.,,,,,
A2907,"Domitian, Emperor of Rome, 51-96",Domitianus,Domitian,Titus Flavius Caesar Domitianus Augustus,,,Domitien empereur romain 0051-0096,"Domitian Römisches Reich, Kaiser 51-96",,"Titus Flavius Domitianus 51-96, rimski car",,,
A2888,"Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C.",,,Decimus Iunius Brutus Albinus,,,,"Brutus Albinus, Decimus Iunius v85-v43",,,,,
A2905,"Modestinus, Herennius, active 3rd century",,,Herennius Modestinus,,,,"Modestinus, Herennius 3. Jh. n. Chr.",,"Modestinus, Herennius",,,
A2886,"Vatinius, Publius, active 59 B.C.-47 B.C.",Vatinius,,Publius Vatinius,,,,,,,,,
A2885,"Curius, Manlius, active circa 58 B.C.",Curius,,Manlius Curius,,,,"Curius, Manlius v58",,,,,
A2936,"Tomaso, da Faenza, active 1263-1289",,,,,,Tommaso da Faenza,,,Tommaso da Faenza,,,
A2934,"Varchi, Benedetto, 1503-1565",,,,,"Varchi, Benedetto 1503-1565",Varchi Benedetto 1503-1565,"Varchi, Benedetto 1502-1565","Varchi , Benedetto","Varchi, Benedetto",,,
A2933,"Zamorei, Gabriele de', active 14th century",,,,,,,,,,,,
A2931,"Convenevole, da Prato, -approximately 1340",,,,,,,Convenevole da Prato 1270-1338,Convenevole : da Prato,Convenevole da Prato 127.?-1338?,,,
A2929,"Scribonius Libo Drusus, Marcus, -16",,,Marcus Scribonius Libo Drusus,,,"Scribonius Dursus Libo, Marcus (....-0016)",,,"Scribonius Libo Drusus, Marcus, -16",,,
A2927,"Papinian, -212",,,,,"Papinianus, Aemilius",,"Papinianus, Aemilius 140-212",,"Papinianus, Aemilius, 0142?-0212",,,
A2926,"Ponnanus, Poeta",,,Ponnanus Poeta,,,,Ponnanus Poeta 5. bzw. 5./6. Jh.,,,,,
A2917,"Priscillian, Bishop of Avila, approximately 350-385",,"Priscillian, Bishop of Avila",Priscillianus,,,Priscillien 0340?-0385,,,Priscillianus ca340-385,,,
A2904,Procilius,,,Procilius,,,,Procilius v1. Jh.,,,,,
A2903,"Feofan, Archbishop of Novgorod, 1681-1736",,"Feofan, Archbishop of Novgorod",,,,Feofan Eleazar Prokopovič 1681-1736,"Prokopovič, Feofan 1681-1736","Prokopovič , Feofan",Theophanes 1681-1736 архиепископ Новгородский,,,
A2916,"Sabinus, Masurius",,Masurius Sabinus,Masurius Sabinus,,,,,,Масурий Сабин,,,
A2902,"Saturninus, Julius",,Saturninus,Iulius Saturninus,,,,,,,,,
A2915,Suetonius Paulinus,,,Suetonius Paulinus,,,,"Suetonius Paullinus, Gaius 1. Jh.",,,,,
A2900,Sulpicius Blitho,,Sulpicius Blitho,Sulpicius Blitho,,,,,,,,,
A2925,"Vestalis, Fabius",,Vestalis,Fabius Vestalis,,,,,,,,,
A2913,"Lepidus, Marcus Aemilius, -13 B.C.",Lepidus,,Marcus Aemilius Lepidus,,,Aemilius Lepidus Marcus 008.?-0013? av. J.-C.,"Lepidus, Marcus Aemilius Triumvir v90-v12",,"Lépido, Marco Emilio m. 13 a.C.",,,
A2911,"Antoninus Pius, Emperor of Rome, 86-161",,,Titus Aelius Hadrianus Antoninus Augustus Pius,,,Antonin le Pieux empereur romain 0086-0161,"Antoninus Pius Römisches Reich, Kaiser 86-161",,Antonino Pio 86-161 Imperador de Roma,,,
A2909,"Domitius Afer, -59",,,Domitius Afer,,,,,,,,,
A2908,"Valens, Gaius Aburnius, 109",,,Gaius Aburnius Valens,,,,"Valens, Gaius Aburnius 109",,,,,
A2906,"Nerva, Emperor of Rome, approximately 30-98",,Nerva,Marcus Cocceius Nerva Caesar Augustus,,"Nerva, Emperador de Roma",Nerva empereur romain 0026?-0098,"Nerva Römisches Reich, Kaiser 30-98",,Nerva 0026?-0098 empereur romain,,,
A2949,Eustachius de Matera c. 1268/70,,,,,,,Eustachius de Matera ca. um 1268/70,,,,,
A2948,"Fedele, Cassandra, 1465?-1558",,,,,,,"Fidelis, Cassandra 1465-1558",,"Fedele, Cassandra 1465-1558",,,
A2943,"Filelfo, Giovanni Mario, 1426-1480",,,,,,Filelfo Giovanni Mario 1426-1480,"Philelphus, Johannes Marius 1426-1480","Filelfo , Giovanni Mario","Philelphus, Ioannes Marius 1426-1480",,,
A2941,"Gallo, Egidio",,,,,,Gallo Egidio,"Gallo, Egidio",,,,,
A2947,"Gaurico, Pomponio, 1481 or 1482-1528",,,,,"Gaurico, Pomponio",Gaurico Pomponio 1481?-1530,"Gaurico, Pomponio 1481-1528","Gaurico , Pomponio","Gaurico, Pomponio asi 1481-asi 1528",,,
A2939,Gioanni Hercolani de' Sarti,,,,,,,,,,,,
A2955,"Mazzoni, R. Francisco",,,,,,,,,,,,
A2953,"Nogarola, Isotta, 1418-1466",,,,,"Nogarola, Isotta 1418-1466",,Isotta Nogarola ca. 1420 - 1466,,"Nogarola, Isotta",,,
A2952,"Pigna, Giovan Battista, 1529-1575",,,,,"Pigna, Giovanni Battista 1530-1575",Pigna Giovanni Battista 1529-1575,"Pigna, Giovan Battista 1529-1575","Pigna , Giovanni Battista &lt;1529-1575&gt;","Pigna, Giovanni Battista",,,
A2938,"Sbrulius, Richardus, 1480-",,,Richardus Sbrulius,,,,"Sbrolius, Richardus 1480-",,"Sbrulius, Richardus 1480-",,,
A2922,"Seneca, Tommaso, approximately 1390-1472",,,,,,,Thomas Seneca ca. ca. 1390-1472,,Thomas ca. ca. 1390-1472 Seneca,,,
A2937,"Serarrighi, Cristofano",,,,,,,"Serarrighi, Cristofano",,,,,
A2921,"Uberti, Francesco ca. ca. 1440-1518",,,,,,,"Uberti, Francesco ca. ca. 1440-1518",,,,,
A2935,"Valeriano, Pierio, 1477-1560",,,,,"Valeriano, Pierio 1477-1560",Pierio Valeriano Giovan Pietro 1477-1560,"Valeriano, Pierio 1477-1560","Valeriano , Pierio","Bolzani, Giovanni Pierio Valeriano 1477-1560",,,
A2950,"Zamberti, Bartolomeo, active 1500",,,,,"Zamberti, Bartolomeo",Zamberti Bartolomeo 1473-15..,"Zamberti, Bartolomeo 1473-1539",,"Zamberti, Bartolommeo ca 1473-?",,,
A2920,"Agrippina, Minor, 15-59",,Agrippina the Younger,Agrippina Minor,,"Agripina, la Joven (15-59)",Agrippine la Jeune (0015-0059),Agrippina die Jüngere 15-59,,Agrippina 15-59 die Jüngere,,Agrippina Minor 15-59,
A2930,"Fulvius Nobilior, Marcus, approximately 230 B.C.-",,,Marcus Fulvius Nobilior,,,"Fulvius Nobilior, Marcus (0230?-01.. av. J.-C.)","Fulvius Nobilior, Marcus ca. v2.Jh.",,"Fulvius Nobilior, Marcus",,,
A2919,"Maeonius Astyanax, 3rd Century A.D.",,,,,,,Maeonius Astyanax 3. Jh.,,,,,
A2928,"Modestinus, Poeta, 5th or 6th Century A.D.",,,Modestinus Poeta,,,,Modestinus Poeta 5. bzw. 5./6. Jh.,,,,Modestinus Poeta 5. bzw. 5./6. Jh. n. Chr,
A2918,"Posthius, Johannes, 1537-1597",,"Posthius, Johannes",Johannes Posthius,,,Posthius Johannes 1537-1597,"Posthius, Johannes 1537-1597",,"Posthius, Johannes",,,
A2944,"Ferreri, Zaccaria, approximately 1479-1524",,,,,,,,,,,,
A2942,"Folengo, Nicodemo, approximately 1454-",,,,,,Folengo Nicodemo 1454?-14..?,"Folengo, Nicodemo 1454-",,"Folengo, Nicodemo ca 1454 - 14.",,,
A2960,Francesco Cardulo,,,,,,Cardulo Francesco,,,"Cardulus, Franciscus",,,
A2940,"Geraldini, Alessandro, 1455-1525",,,,,,Geraldini Alessandro 1455-1525,"Geraldinus, Alexander 1455-1525","Geraldini , Alessandro &lt;1455-1525&gt;","Geraldini, Alessandro 1455-1525",,,
A2972,Giorgio Cichino,,,,,,,,,"Cichino, Giorgio 1514-1599",,,
A2957,"Malatesta, Sigismondo Pandolfo, signore di Rimini, 1417-1468",,,,,,Malatesta Sigismondo Pandolfo 1417-1468,"Malatesta, Sigismondo Pandolfo 1417-1468","Malatesta , Sigismondo Pandolfo","Malatesta, Sigismondo Pandolfo",,,
A2976,"Marzio, Galeotto, 1427-1497",,,,,,,Galeottus Martius 1427-1497,"Marzio , Galeotto",Galeotto Marzio umanista italiano,,,
A2956,"Maurisio, Gerardo, 1173-",,,,,,,"Maurisius, Gerardus 1173-1237",,"Maurisio, Gerardo 1173-",,,
A2974,"Molza, Tarquinia, 1542-1617",,,,,,Molza Tarquinia 1542-1617,"Molza, Tarquinia 1542-1617",,"Molza, Tarquinia 1542-1617",,,
A2954,"Muzio, Girolamo, 1496-1576",,,,,,Muzio Girolamo 1496-1576,"Muzio, Girolamo 1496-1576",,"Mutius, Hieronimus",,,
A2970,"Phantino, Pier S.",,,,,,,"Phantino, Pier S.","Faustino , Pietro Saul","Perisauli, Faustino m. d. 1523",,,
A2946,"Zenobi, da Strada, 1312-1361",Zenodbi,,,,,Zanobi da Strada 1312-1361,Zanobi da Strada 1312-1361,Zanobi : da Strada,Zanobi da Strata 1312-1361,,,
A2945,"Vespasian, Emperor of Rome, 9-79",,Vespasian,Titus Flavius Vespasianus,,"Vespasiano, Emperador de Roma 9-79",Vespasien empereur romain 0009-0079,"Vespasian Römisches Reich, Kaiser 9-79",,Vespasien empereur romain,,,
A2967,"Altilio, Gabriele, 1436-1501",,,,,,Altilio Gabriele 1440?-1501,"Altilio, Gabriello 1440-ca. 1501",,"Altilio, Gabriele 1436-1501",,,
A2971,"Amoretti Angulo, Andrea Lucía",,,,,,,,,,,,
A2975,Antonio Baratella,,,,,,,,,"Baratella, Antonio 1385-1448",,,
A2963,"Aurispa, Giovanni, approximately 1376-1459",,,,,,Aurispa Giovanni 1369-1459,"Aurispa, Giovanni","Aurispa , Giovanni","Aurispa, Giovanni",,,
A2973,"Barbato, Marco, -1363",,,,,,,,,"Barbato, Marco m. 1363",,,
A2961,"Bembo, Bonifacio",Bembo,,,,,,,,,,,
A2969,"Berni, Francesco, 1497 or 1498-1535",,,,,,Berni Francesco 1497?-1535?,"Berni, Francesco 1497-1535","Berni , Francesco &lt;1497?-1535?&gt;","Berni, Francesco 1497 or 1498-1535",,,
A2995,"Sisbertus Toletanus, c. 7th century A.D.",,,Sisbertus Toletanus,,,,Sisbertus Toletanus ca. 7. Jh.,,,,,
A2978,"Andronicus Callistus, -1478",,,Andronicus Callistus,,,,,,Andronikos Kallistos d. 1478,,,
A2966,Angela Nogarola c. 15. C.,,,,,,,Angela Nogarola ca. 15. Jh.,,,,,
A2965,"Angèli, Pietro, 1517-1596",,,,,"Angeli, Pietro 1517-1596",Angeli Pietro 1517-1596,"Angèli, Pietro 1517-1596","Angeli , Pietro","Angèli, Pietro 1517-1596",,,
A2996,"Anichini, Gerardo, active 1399",,,,,,,,,,,,
A2964,"Augurelli, Giovanni Aurelio, approximately 1456-1524?",,,,,,,"Augurelli, Giovanni Aurelio 1456-1524",,"Augurelli, Giovanni Aurelio asi 1456-1524",,,
A2982,"Barignani, Fabio, 1532-1584",,,,,,Barignani Fabio 1532-1584,"Barignani, Fabio 1532-1584",,"Barignani, Fabio 1532-1584",,,
A2962,"Bartolomeo, fra, 1472-1517",,,,,"Bartolomeo, fra 1472-1517",Bartolomeo Fra 1472-1517,Bartolomeo della Porta ca. 1472-1517,Bartolomeo : della Porta,Bartolomeo ca. 1472-1517 della Porta,,,
A2993,"Calderino, Domizio, 1447-1478",,,,,"Calderino, Domizio",Calderino Domizio 1446-1478,Domitius de Calderiis 1446-1478,"Calderini , Domizio","Calderini, Domizio 1447-1478",,,
A2994,"Dall'Isola, Matteo, active 15th century-16th century",,,,,,Dall'Isola Matteo 148.?-15..,,Matteo : dall'Isola,"Isola, Matteo dall' 16e eeuw",,,
A2981,"Giovanni del Virgilio, active 1319",,,,,,,,,,,,
A2959,Girolamo d'Este 1450-1530,,,,,,,Girolamo d'Este 1450-1530,,Hieronymus Brunschwig médecin allemand,,,
A2958,"Gravina, Pietro, 1749-1830",,,,,,,"Gravina, Pietro 1749-1830",,"Gravina, Pietro 1749-1830 card",,,
A2979,"Lapi, Angelo Emilio, approximately 1769-1852",,,,,,Lapi Angelo Emilio 1769-1852,"Lapi, Angelo Emilio",,"Lapi, Angelo Emilio 1769-1852",,,
A2997,"Marsi, Paolo, 1440-1484",,,,,,Marso Paolo 1440-1484,"Marsus, Paulus 1440-1484",,"Marsi, Paolo",,,
A2985,"Mauri, Francesco 1500-1571",,,,,,,"Mauri, Francesco 1500-1571","Mauri , Francesco &lt;1500-1571&gt;","Mauri, Francesco 1500-1571",,,
A2983,"Mombrizio, Bonino, 1424?-1482?",,,,,,Mombrizio Bonino 1424-1478,"Mombritius, Boninus 1424-1482",,"Mombrizio, Bonino 1424-1482?",,,
A2980,"Pietro Odo da Montopoli, approximately 1425-1463?",,,,,,,,,,,,
A2977,"Ranieri, Antonio, 1806?-1888",,,,,,Ranieri Antonio 1806-1888,"Ranieri, Antonio 1806-1888","Ranieri , Antonio &lt;1806-1888&gt;","Ranieri, Antonio 1806-1888",,,
A2968,"Rota, Berardino, 1508-1575",,,,,,Rota Berardino 1508-1575,"Rota, Berardino 1508-1575","Rota , Berardino","Rota, Berardino ca.1509-ca.1574",,,
A2989,Cornelio Paolo Amalteo,,,,,,,,,,,,
A2999,"Griffoni, Matteo, 1351-1426",,,,,,Griffoni Matteo 1351-1426,"Griffonibus, Matthaeus de 1351-1426","Griffoni , Matteo &lt;1351-1426&gt;","Griffoni, Matteo 1351-1426",,,
A2987,"Lenzi, Lorenzo, 1517?-1571",,,,,,,,,"Lenzi, Lorenzo ca1517-1571",,,
A3006,"Marsuppini, Carlo, 1398-1453",,,,,,Marsuppini Carlo 1398-1453,"Marsuppini, Carolus 1398-1453",,"Marsuppini, Carolus 1398-1453",,,
A3004,"Moggi, Moggio, active 14th century",,,,,,Moggi Moggio 1330?-1388,,,"Moggi, Moggio de' sec. XIV",,,
A3001,"Paolini, Alessandro",,,,,,,,,"Paolini, Alessandro",,,
A2988,"Pietro, da Moglio",,,,,,,,,,,,
A2998,"Quatrario, Giovanni, 1336-1402",,,,,,Quatrario Giovanni 1336-1402,,,"Quatrario, Giovanni",,,
A2986,"Rolandello, Francesco, 1427-1490",,,,,,,"Rolandellus, Franciscus 1427-1490",,"Rholandellus, Franciscus",,,
A3010,"Aldegati , Marcantonio",,,,,,,,"Aldegati , Marcantonio","Aldegati, Marcantonio",,,
