URL,Name
http://viaf.org/viaf/15114392/,Polycrates Ephesius 2. Jh
http://viaf.org/viaf/15159369/,Adaeus Mytilenensis v3. Jh
http://viaf.org/viaf/15159416,Androsthenes Thasius v4. Jh
http://viaf.org/viaf/15159416,Androsthenes Thasius v4. Jh
http://viaf.org/viaf/15159557/,Chrysermus Medicus v1. Jh.
http://viaf.org/viaf/15159588/,Cleobulus Medicus ca. 2.Jh.n.Chr.
http://viaf.org/viaf/15159672,Nicolaus Ancyranus 5. Jh.
http://viaf.org/viaf/15159906/,"Hestiaeus Perinthius v4. Jh.
                           "
http://viaf.org/viaf/15160198/,"Theudas Medicus ca. 1.Jh.n.Chr.
                           "
http://viaf.org/viaf/1591145856888022920282/,Apocalypsis Esdrae Graece
http://viaf.org/viaf/160582729/,Antonius Musa v23-23
http://viaf.org/viaf/160582729/,Antonius Musa v23-23
http://viaf.org/viaf/173979407/,Evangelium Petri
http://viaf.org/viaf/174953613,Anonymus Florentinus
http://viaf.org/viaf/175439370/,Didachè
http://viaf.org/viaf/17563459,"Cassius, Dionysius 89/92"
http://viaf.org/viaf/175807631,Acta Thomae
http://viaf.org/viaf/175807631,Acta Thomae
http://viaf.org/viaf/175807631,Acta Thomae
http://viaf.org/viaf/175807631,Acta Thomae
http://viaf.org/viaf/175807631,Acta Thomae
http://viaf.org/viaf/175889326,Josephus et Aseneth
http://viaf.org/viaf/17613846/,Apollonius Tarsensis v2. Jh.
http://viaf.org/viaf/17613880,"Aristarchus, Aristus ca. 2.Jh.n.Chr"
http://viaf.org/viaf/17613880,"Aristarchus, Aristus ca. 2.Jh.n.Chr"
http://viaf.org/viaf/17614120/,Damippus Philosophus v3. Jh.
http://viaf.org/viaf/17614203/,Dorotheus Heliopolitanus ca. 1.Jh.n.Chr.
http://viaf.org/viaf/17614257/,Eurytus Lacedaemonius Person der Antike
http://viaf.org/viaf/17614288/,Harpocras Alexandrinus 1./2. Jh.
http://viaf.org/viaf/17614328,Hermophilus Medicus ca. 2.Jh.n.Chr.
http://viaf.org/viaf/17614328,Hermophilus Medicus ca. 2.Jh.n.Chr.
http://viaf.org/viaf/17614392/,Marinus Medicus 2. Jh
http://viaf.org/viaf/17614584/,Pyrrho Liparaeus ca. 2.Jh.n.Chr.
http://viaf.org/viaf/17614647,Theodorus Macedo 1. Jh.
http://viaf.org/viaf/17614647,Theodorus Macedo 1. Jh.
http://viaf.org/viaf/17614652/,Theophilus Grammaticus v3. Jh.
http://viaf.org/viaf/17656169,Glaucus Historicus v2. Jh. / 3. Jh
http://viaf.org/viaf/176578712/,Testament of Job 
http://viaf.org/viaf/176601643,Liber Jubilaeorum‏/Book of Jubilees  
http://viaf.org/viaf/176689689/,Sophia Jesu Christi
http://viaf.org/viaf/176712634/,Paraleipomena Jeremiou
http://viaf.org/viaf/177498537/,Vitae Prophetarum
http://viaf.org/viaf/177498537/,Vitae Prophetarum
http://viaf.org/viaf/177498537/,Vitae Prophetarum
http://viaf.org/viaf/177498537/,Vitae Prophetarum
http://viaf.org/viaf/178615788/,"Assumption of Moses
                           "
http://viaf.org/viaf/178619636/,Martyrium Perpetuae et Felicitatis
http://viaf.org/viaf/179000193,"Res gestae divi Augusti
                           "
http://viaf.org/viaf/179422127/,Testaments of the Twelve Patriarchs
http://viaf.org/viaf/179525222/,"Greek Apocalypse of Baruch
                           "
http://viaf.org/viaf/179621775/,"Pontou Euxeinou periplous‏
"
http://viaf.org/viaf/179834949,Acta Joannis
http://viaf.org/viaf/179834949,Acta Joannis
http://viaf.org/viaf/179938854,Evangelium Evae
http://viaf.org/viaf/18024015,"Didymus, Claudius ca. 1.Jh"
http://viaf.org/viaf/180672735/,"Abgar Letters
"
http://viaf.org/viaf/180959031,Testament of Abraham
http://viaf.org/viaf/180959031,Testament of Abraham
http://viaf.org/viaf/181070389/,Evangelium Mariae
http://viaf.org/viaf/181149997,Apocryphon of Ezechiel
http://viaf.org/viaf/181778886/,Evangelium Philippi
http://viaf.org/viaf/182457168,"Kerygma Petri/Preaching of Peter
"
http://viaf.org/viaf/182467455/,Acta Philippi
http://viaf.org/viaf/182467455/,Acta Philippi
http://viaf.org/viaf/182467455/,Acta Philippi
http://viaf.org/viaf/182467455/,Acta Philippi
http://viaf.org/viaf/182467455/,Acta Philippi
http://viaf.org/viaf/183505416/,Apocalypse of Peter 
http://viaf.org/viaf/183505416/,Apocalypse of Peter 
http://viaf.org/viaf/184315487/,Barnabae epistula
http://viaf.org/viaf/184435535/,Testament of Solomon
http://viaf.org/viaf/184435535/,Testament of Solomon
http://viaf.org/viaf/184435535/,Testament of Solomon
http://viaf.org/viaf/184435535/,Testament of Solomon
http://viaf.org/viaf/184746618/,Protevangelium Jacobi
